archivo,grupo_noticia,identificador,titulo,url,fuente,fecha_publicacion,status_label,global_score,fiabilidad,adecuacion,claridad,profundidad,enfoque,num_alertas,num_alertas_high,num_alertas_medium,num_alertas_low,codigos_alerta
B1_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,4.73,3.25,4.25,5.75,6.75,4.25,4,2,2,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | OPINION_AS_FACT | VAGUE_REFERENCES
B20_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,irrelevante,5.5,5.75,4.25,6.75,4.25,6.75,8,3,5,0,LOADED_LANGUAGE | MISPLACED_FOCUS | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | OPINION_AS_FACT | RESERVA_EPISTEMICA_FA | UNVERIFIED_CLAIM | VAGUE_REFERENCES
B2_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,4.93,3.25,4.75,5.75,4.75,6.75,5,2,3,0,MISSING_ATTRIBUTION | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | VAGUE_REFERENCES | WEAK_SOURCE
B3_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,5.03,3.25,4.25,5.75,6.75,5.75,8,3,5,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | NO_CONTEXT_WHEN_NEEDED | NUMERIC_CLAIM_NO_SUPPORT | OPINION_AS_FACT | STRUCTURE_BREAK | VAGUE_REFERENCES | WEAK_SOURCE
B4_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,4.53,3.25,4.25,5.75,4.25,5.75,7,2,3,2,AMBIGUOUS_SUBJECT | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | OPINION_AS_FACT | STRUCTURE_BREAK | VAGUE_REFERENCES | WEAK_SOURCE
B5_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,4.93,3.25,4.75,5.75,5.75,5.75,6,3,3,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | UNVERIFIED_CLAIM | VAGUE_REFERENCES
B6_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,4.98,3.25,4.25,4.75,7.25,5.75,5,2,3,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | OPINION_AS_FACT | VAGUE_REFERENCES
B7_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,valiosa,6.25,5.75,5.75,5.75,7.25,6.75,6,2,4,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | VAGUE_REFERENCES
B8_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,4.41,2.5,4.25,4.25,4.75,6.75,6,3,3,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | UNVERIFIED_CLAIM | VAGUE_REFERENCES
B9_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,irrelevante,5.28,4.25,4.25,5.75,6.75,5.75,7,3,4,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | OPINION_AS_FACT | RESERVA_EPISTEMICA_FA | UNVERIFIED_CLAIM | VAGUE_REFERENCES
E10_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,7.08,7.25,5.25,8.75,7.25,7.25,6,2,4,0,MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY | VAGUE_REFERENCES
E11_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,,7.08,4.25,5.75,6.75,6.75,,8,3,5,0,LOADED_LANGUAGE | MISPLACED_FOCUS | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | UNVERIFIED_CLAIM | VAGUE_REFERENCES
E12_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,6.73,6.75,5.75,7.25,7.25,6.75,9,2,6,1,LOADED_LANGUAGE | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | NUMERIC_CLAIM_NO_SUPPORT | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY | VAGUE_REFERENCES | WEAK_SOURCE
E13_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,6.81,6.75,5.5,7.5,7.25,7.25,6,2,4,0,MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | NUMERIC_CLAIM_NO_SUPPORT | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY
E14_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,6.81,6.75,5.5,7.5,7.25,7.25,6,2,4,0,MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | NUMERIC_CLAIM_NO_SUPPORT | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY
E15_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,6.68,5.75,5.75,7.25,7.25,7.75,5,2,3,0,MISSING_ATTRIBUTION | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | UNVERIFIED_CLAIM | VAGUE_REFERENCES
E16_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,6.95,6.75,6.75,6.75,7.75,6.75,7,2,5,0,MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | NUMERIC_CLAIM_NO_SUPPORT | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY | VAGUE_REFERENCES
E17_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,7.5,8.25,6.75,7.25,7.75,7.25,7,2,5,0,MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | NUMERIC_CLAIM_NO_SUPPORT | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY
E18_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,6.9,7.75,5.75,6.75,7.25,6.75,7,2,5,0,IMPLIED_CAUSALITY | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | NUMERIC_CLAIM_NO_SUPPORT | SCORE_ALERT_INCONSISTENCY | VAGUE_REFERENCES
E19_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,7.18,7.25,6.75,6.75,8.25,6.75,8,2,6,0,LOADED_LANGUAGE | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY | VAGUE_REFERENCES
E1_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,7.13,8.25,6.75,6.75,6.75,6.75,8,2,6,0,LOADED_LANGUAGE | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY | VAGUE_REFERENCES
E20_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,6.55,6.75,5.75,6.75,7.75,5.75,6,2,4,0,LOADED_LANGUAGE | MISSING_ATTRIBUTION | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY | SENSATIONALISM
E2_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,7.13,8.25,5.75,6.75,7.75,6.75,7,2,5,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | NUMERIC_CLAIM_NO_SUPPORT | SCORE_ALERT_INCONSISTENCY | VAGUE_REFERENCES
E3_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,6.73,5.75,5.75,8.25,6.75,7.75,6,2,4,0,LOADED_LANGUAGE | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | VAGUE_REFERENCES
E4_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,7.11,7.75,5.75,7.5,6.75,7.75,7,2,5,0,MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | NUMERIC_CLAIM_NO_SUPPORT | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY | VAGUE_REFERENCES
E5_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,7.23,7.75,5.75,7.25,7.75,7.5,7,2,5,0,LOADED_LANGUAGE | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY | VAGUE_REFERENCES
E6_69979303c1b938e19e4dcacc.json,id::58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,58a53982f667939f954fcc9e18d6d38e31042a5c0213195269071fc45b68ca5c,España se sitúa a la cola de países de la UE en accesibilidad a la vivienda,https://www.lavanguardia.com/economia/20250203/10344874/espana-situa-cola-paises-ue-accesibilidad-vivienda.html,Lavanguardia,2025-02-03T10:00:00,valiosa,6.18,5.75,5.75,7.25,6.75,5.75,6,3,3,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | WEAK_SOURCE
